Id,Label,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
30,S30,8,28,36,3.0,1.6842105263157894,93.61176013344294,4,36.0,8.0,28.0,0.017257463,0.017257463,0.01614905886427427,0,0.44761904761904764,282,0.6862171162063854
32,S32,8,12,20,3.0,1.8736842105263158,11.928961186149731,4,20.0,8.0,12.0,0.009794776,0.009794776,0.009488115831002614,0,0.5842105263157895,111,0.37912496462676903
29,S29,7,15,22,3.0,1.8842105263157896,36.51362011337331,4,22.0,7.0,15.0,0.010727612,0.010727612,0.010449773915726443,0,0.4329004329004329,100,0.3944975867510553
83,S83,7,3,10,3.0,2.0736842105263156,3.2278876154268166,3,10.0,7.0,3.0,0.005130597,0.005130597,0.005546196831009324,0,0.5333333333333333,24,0.24800777319011713
18,S18,6,26,32,3.0,1.7578947368421052,30.544810008796208,0,32.0,6.0,26.0,0.015391791,0.015391791,0.013979491253799882,0,0.6149193548387096,305,0.6879977784633522
33,S33,6,17,23,3.0,1.8526315789473684,28.358307104619005,4,23.0,6.0,17.0,0.01119403,0.01119403,0.011053886713673931,0,0.37549407114624506,95,0.3864649399834988
42,S42,6,1,7,4.0,2.305263157894737,1.8499777322357969,4,7.0,6.0,1.0,0.0037313432,0.0037313432,0.004428497807605435,0,0.5238095238095238,11,0.13667164485893893
47,S47,6,1,7,3.0,2.1157894736842104,5.294670241952627,5,7.0,6.0,1.0,0.0037313432,0.0037313432,0.00456081025816495,0,0.38095238095238093,8,0.12654968920626727
99,S99,6,0,6,4.0,2.3263157894736843,0.20411953637760089,4,6.0,6.0,0.0,0.0032649254,0.0032649254,0.003870431790282124,0,0.6666666666666666,10,0.13111551801763827
13,S13,5,30,35,3.0,1.7052631578947368,46.234531572370884,0,35.0,5.0,30.0,0.016791046,0.016791046,0.015394459301820089,0,0.5815126050420169,346,0.7290650982787484
27,S27,5,18,23,3.0,1.8210526315789475,59.839124295571594,4,23.0,5.0,18.0,0.01119403,0.01119403,0.011398734626370588,0,0.391304347826087,99,0.40529729800722386
28,S28,5,0,5,4.0,2.3684210526315788,0.7128246305269745,0,5.0,5.0,0.0,0.0027985075,0.0027985075,0.0035245441820308115,0,0.2,2,0.0925208167360896
17,S17,4,26,30,3.0,1.7157894736842105,59.996164817618975,0,30.0,4.0,26.0,0.014458955,0.014458955,0.013718734627194546,0,0.5563218390804597,242,0.6243928378160402
36,S36,4,12,16,3.0,1.9052631578947368,22.232761094046964,3,16.0,4.0,12.0,0.007929104,0.007929104,0.008132636685953935,0,0.5416666666666666,65,0.3669189328079519
5,S5,3,43,46,3.0,1.5789473684210527,107.96903203756919,4,46.0,3.0,43.0,0.021921642,0.021921642,0.019884294945787855,0,0.47246376811594204,489,0.8901044126963595
19,S19,3,20,23,3.0,1.8421052631578947,358.55266173867795,7,23.0,3.0,20.0,0.01119403,0.01119403,0.016617283015557503,0,0.16600790513833993,42,0.2826965746125688
20,S20,3,20,23,3.0,1.831578947368421,25.52697079228983,4,23.0,3.0,20.0,0.01119403,0.01119403,0.010774682392685055,0,0.5335968379446641,135,0.4832110122143514
40,S40,3,11,14,3.0,1.9894736842105263,2.000884753078207,3,14.0,3.0,11.0,0.006996269,0.006996269,0.007043876639429842,0,0.7142857142857143,65,0.326510488246272
57,S57,3,5,8,4.0,2.263157894736842,2.8021335301797485,5,8.0,3.0,5.0,0.0041977614,0.0041977614,0.004896706792336048,0,0.39285714285714285,11,0.11782824778134207
9,S9,2,17,19,3.0,1.936842105263158,12.195929823592524,5,19.0,2.0,17.0,0.009328358,0.009328358,0.009347208610784382,0,0.49707602339181284,85,0.32763429896896856
12,S12,2,34,36,3.0,1.6526315789473685,83.79692251325437,4,36.0,2.0,34.0,0.017257463,0.017257463,0.016190665778420335,0,0.4523809523809524,285,0.6958472966529885
22,S22,2,12,14,3.0,1.9789473684210526,1.24968040795648,3,14.0,2.0,12.0,0.006996269,0.006996269,0.0068641914410099885,0,0.7582417582417582,69,0.3624466981634793
23,S23,2,17,19,3.0,1.9052631578947368,17.858596013588578,5,19.0,2.0,17.0,0.009328358,0.009328358,0.009415937602618208,0,0.5672514619883041,97,0.3019792659748521
