Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
83,संग्रह,1,0,1,1.0,1.0,0.0,9.0,4.361111111111111,0.0,0.0057471264,0.0057471264,125,0.003766585092680846,16,0.0,0,0.08996253273169438
84,आज,5,0,5,5.0,5.0,0.0,2.0,1.375,1.3499999999999999,0.01724138,0.01724138,73,0.006065130331334432,41,0.4,4,0.5899369889565359
85,छतरी,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0.0010136121273419672,69,0.0,0,0.0
86,आकर्षणों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0.0010136121273419672,70,0.0,0,0.0
87,स्फटिक,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0010136121273419672,71,0.0,0,0.0
88,होटल,1,0,1,1.0,1.0,0.0,3.0,2.6666666666666665,0.0,0.0057471264,0.0057471264,185,0.003695057027282348,9,0.0,0,0.05176745044181102
89,हिरणों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.0010136121273419672,72,0.0,0,0.0
90,अक्तूबर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0.0010136121273419672,73,0.0,0,0.0
91,तीर्थयात्रियों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0.0010136121273419672,74,0.0,0,0.0
92,द्वार,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0010136121273419672,75,0.0,0,0.0
93,सिक्कों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0.0010136121273419672,76,0.0,0,0.0
94,पोशाकों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.0010136121273419672,77,0.0,0,0.0
95,उपहारों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,0.0010136121273419672,78,0.0,0,0.0
96,रिक्शा,1,0,1,1.0,1.0,0.0,2.0,1.75,0.0,0.0057471264,0.0057471264,74,0.0045576632054272915,26,0.0,0,0.01281628126666244
97,अन्तःपुर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0.0010136121273419672,79,0.0,0,0.0
98,कांच,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0.0010136121273419672,80,0.0,0,0.0
99,तकनीक,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0.0010136121273419672,81,0.0,0,0.0
100,पहचान,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0.0010136121273419672,82,0.0,0,0.0
101,पुस्तकालय,1,0,1,1.0,1.0,0.0,4.0,2.5416666666666665,0.0,0.0057471264,0.0057471264,154,0.003848904380522082,9,0.0,0,0.08650541932356233
