Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
102,cetanA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,49,6.16349845874057E-4,54,0.0,0,0.0
103,jvAlAmukhI,2.0,1.5,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,93,0.0032990347053572983,55,0.0,0,0.0031151048849071094
104,saMshodhana,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
105,hoTala,8.0,4.9245283018867925,0.0,2,0,2,2.0,2.0,0.0,0.0045731706,0.0045731706,12,0.0035173052649805758,2,1.0,1,0.015215863476159809
106,giraphta,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
107,laMdana,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,50,6.16349845874057E-4,56,0.0,0,0.0
108,jhIleM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,51,6.16349845874057E-4,57,0.0,0,0.0
109,lakShya,11.0,5.245283018867925,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,87,0.0019390096314386336,2,0.0,0,0.009408279195548005
110,lakShya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,52,6.16349845874057E-4,58,0.0,0,0.0
111,darjanoM,4.0,2.3125,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,150,0.002226520832392929,10,0.0,0,0.01642442100908536
112,bhUgola,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,53,6.16349845874057E-4,59,0.0,0,0.0
113,navaMbara,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,54,6.16349845874057E-4,60,0.0,0,0.0
114,machalI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,55,6.16349845874057E-4,61,0.0,0,0.0
115,rAjya,8.0,2.981132075471698,582.0000000000002,3,2,5,5.0,3.0,2.0,0.009146341,0.009146341,79,0.005907466919448682,2,0.0,0,0.07596891105204127
116,dharatI,8.0,3.8867924528301887,0.0,1,0,1,2.0,2.0,0.0,0.0030487804,0.0030487804,79,0.0016782031651249544,2,0.0,0,0.020672602006733407
117,sUkhA,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
118,dRRishya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,56,6.16349845874057E-4,62,0.0,0,0.0
119,tApamAna,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
120,bhAvanA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,57,6.16349845874057E-4,63,0.0,0,0.0
121,AkramaNa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,58,6.16349845874057E-4,64,0.0,0,0.0
122,AtmasamarpaNa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,59,6.16349845874057E-4,65,0.0,0,0.0
123,kalaha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,60,6.16349845874057E-4,66,0.0,0,0.0
124,saMbaMdha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,61,6.16349845874057E-4,67,0.0,0,0.0
125,ghATI,7.0,4.0754716981132075,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,12,0.002097026574247745,2,0.0,0,0.023231844116319168
126,gherAva,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
127,yuga,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,62,6.16349845874057E-4,68,0.0,0,0.0
128,nivAsa,7.0,4.0,73.5,1,2,3,3.0,1.0,2.0,0.0060975607,0.0060975607,12,0.00506022585231007,2,0.3333333333333333,1,0.03451064099455646
129,uttarI,8.0,3.4716981132075473,56.50000000000003,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,79,0.0034540024659410005,2,0.0,0,0.05988432107004777
130,bastI,7.0,3.981132075471698,76.5,2,1,3,4.0,3.0,1.0,0.0060975607,0.0060975607,12,0.005402235773056547,2,0.0,0,0.03286686647035453
131,bhojana,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,63,6.16349845874057E-4,69,0.0,0,0.0
132,amerikA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,6.16349845874057E-4,70,0.0,0,0.0
133,samaya,1.0,1.0,1.2,5,5,10,10.0,5.0,5.0,0.013719512,0.013719512,135,0.004707512447655051,20,0.5357142857142857,15,0.202655504777856
134,samarthana,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,65,6.16349845874057E-4,71,0.0,0,0.0
