Id,Label,Source,Target,Weight,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient
106,devadAra,,,,1,0,1,2.0,1.8333333333333333,0.0,194,1.0,1.0,0.0,0.003407155,0.003407155,0.0028200429373101818,17,0.0
107,hoTaloM,,,,1,0,1,9.0,3.7777777777777777,0.0,183,1.0,1.0,0.0,0.003407155,0.003407155,0.0015233794203415403,0,0.0
108,kAnhA,,,,0,0,0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,74,0.0
109,svarNa,,,,0,0,0,0.0,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,75,0.0
110,sikkhoM,,,,0,0,0,0.0,0.0,0.0,71,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,76,0.0
111,tarIkA,,,,0,0,0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,77,0.0
112,saiMDa,,,,0,0,0,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,78,0.0
113,mAnava,,,,2,0,2,2.0,1.6,1.5,47,2.0,2.0,0.0,0.0051107327,0.0051107327,0.004478460449256111,48,0.0
114,bhavyatA,,,,0,0,0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,79,0.0
115,anubhava,,,,0,0,0,0.0,0.0,0.0,75,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,80,0.0
116,AkAsha,,,,0,0,0,0.0,0.0,0.0,76,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,81,0.0
117,saMkhyA,,,,0,0,0,0.0,0.0,0.0,77,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,82,0.0
118,upahAroM,,,,0,0,0,0.0,0.0,0.0,78,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,83,0.0
119,hRRidaya,,,,0,0,0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,84,0.0
120,gRRiha,,,,0,3,3,10.0,4.680555555555555,1.5,183,3.0,0.0,3.0,0.00681431,0.00681431,0.004126294599229265,0,0.0
121,tApamAna,,,,3,0,3,10.0,4.138888888888889,10.125,7,3.0,3.0,0.0,0.00681431,0.00681431,0.0027180730871819215,0,0.6666666666666666
122,karanAla,,,,0,0,0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,85,0.0
123,jIvana,,,,3,0,3,3.0,2.0,0.0,81,3.0,3.0,0.0,0.00681431,0.00681431,0.0024385072624940477,23,1.0
124,gaMtavyoM,,,,4,0,4,8.0,3.513888888888889,0.42857142857142855,128,4.0,4.0,0.0,0.008517887,0.008517887,0.003312426970468428,0,0.0
125,pariyojanA,,,,0,0,0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,86,0.0
126,sapanA,,,,0,0,0,0.0,0.0,0.0,83,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,87,0.0
127,kalpa,,,,0,0,0,0.0,0.0,0.0,84,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,88,0.0
128,ghATiyoM,,,,0,0,0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,89,0.0
129,pracuratA,,,,1,0,1,1.0,1.0,0.0,205,1.0,1.0,0.0,0.003407155,0.003407155,0.004565789940223913,90,0.0
130,himapAta,,,,1,0,1,4.0,2.6666666666666665,0.0,81,1.0,1.0,0.0,0.003407155,0.003407155,0.00139530016456598,23,0.0
131,ghara,,,,4,6,10,8.0,2.7916666666666665,1326.9285714285716,183,10.0,4.0,6.0,0.018739352,0.018739352,0.010075850631812804,0,0.0
132,yuddha,,,,0,0,0,0.0,0.0,0.0,86,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,91,0.0
133,istemAla,,,,0,0,0,0.0,0.0,0.0,87,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,92,0.0
134,Apa,,,,0,0,0,0.0,0.0,0.0,88,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,93,0.0
135,samaya,,,,4,8,12,2.0,1.25,9.30952380952381,81,12.0,4.0,8.0,0.018739352,0.018739352,0.007290113742317118,23,0.4222222222222222
136,kalpanA,,,,0,0,0,0.0,0.0,0.0,89,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,94,0.0
137,jala,,,,0,2,2,10.0,5.208333333333333,35.0,199,4.0,0.0,4.0,0.0051107327,0.0051107327,0.0035962089752883944,0,0.0
138,taraha,,,,0,0,0,0.0,0.0,0.0,90,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,95,0.0
139,visheShatA,,,,1,1,2,0.0,0.0,0.0,91,2.0,1.0,1.0,0.003407155,0.003407155,0.0011582820158933518,96,0.0
140,vAstukalA,,,,1,0,1,12.0,7.111111111111111,0.0,228,1.0,1.0,0.0,0.003407155,0.003407155,0.002427960926730586,0,0.0
141,khajAne,,,,4,0,4,8.0,3.513888888888889,0.42857142857142855,128,4.0,4.0,0.0,0.008517887,0.008517887,0.003312426970468428,0,0.0
142,prakRRiti,,,,0,0,0,0.0,0.0,0.0,92,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,97,0.0
143,pravRRittiyoM,,,,0,0,0,0.0,0.0,0.0,93,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,98,0.0
144,janasaMkhyA,,,,0,0,0,0.0,0.0,0.0,94,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,99,0.0
145,navaMbara,,,,0,0,0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,100,0.0
