Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
250,kRRiShi,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,130,0.0,0.0,5.781744264857095E-4,129,0.0,0,0.0
251,dRRishya,2.0,1.5,0.0,0,1,1,1.0,0.0,1.0,131,0.0030395137,0.0030395137,0.0013763816163456994,130,0.0,0,0.006347943998946725
252,pariNAma,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,151,0.0030395137,0.0030395137,0.0040021946104086695,131,0.0,0,0.0028517556991628206
253,shAsaka,1.0,1.0,1.0,0,2,2,2.0,0.0,2.0,132,0.0045592706,0.0045592706,0.0058556016410428405,107,0.0,0,0.006352920994289418
254,dRRishya,2.0,1.5,0.0,0,1,1,1.0,0.0,1.0,131,0.0030395137,0.0030395137,0.0013763816163456994,130,0.0,0,0.006347943998946725
255,sudhArane,14.0,7.419047619047619,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0023025351640284294,4,0.0,0,0.029769512396527448
256,sITeM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,133,0.0,0.0,5.781744264857095E-4,132,0.0,0,0.0
257,takhtA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,134,0.0,0.0,5.781744264857095E-4,133,0.0,0,0.0
258,parivartana,13.0,6.428571428571429,207.0,1,2,3,3.0,1.0,2.0,77,0.0060790274,0.0060790274,0.006014498615785282,4,0.0,0,0.17514727416025344
259,AyAta,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
260,muhAnoM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,135,0.0,0.0,5.781744264857095E-4,134,0.0,0,0.0
261,cAroM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,136,0.0,0.0,5.781744264857095E-4,135,0.0,0,0.0
262,sthAnoM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,137,0.0,0.0,5.781744264857095E-4,136,0.0,0,0.0
